Date,KSSMB,KQSMB,KSHML,KQHML,KSMMT,KQMMT
2015-06-15,0.00845,0.00365,0.00258,0.003025,0.013145815,-0.000154475
2015-06-16,0.0009,-0.00515,-0.00384,0.002725,0.006722437,0.015768367
2015-06-17,-0.01085,-0.01045,0.006173333,0.012,-0.005460711,0.02502038
2015-06-18,0.0042,-0.00285,0.019956667,-0.010475,0.007199906,0.002423338
2015-06-19,-0.00425,0.01105,0.00015,0.001275,0.000264059,0.003525994
2015-06-22,0.0033,-0.001,-0.016393333,0.0018,-0.003710457,0.021918085
2015-06-23,-0.00095,0.01035,-1.00E-05,0.003675,-0.007469043,-0.016481475
2015-06-24,-0.0046,0.0022,0.003713333,-0.00695,-0.010260499,-0.004511309
2015-06-25,-0.00675,-0.00185,0.01283,-0.002525,-0.014849258,0.037703659
2015-06-26,0.00645,-0.00335,-0.008063333,-0.0073,0.006076007,-0.029252435
2015-06-29,0.0125,-0.0148,-0.00248,0.0001,0.002379283,-0.031513983
2015-06-30,-0.00355,0.0014,-0.00972,0.006175,0.003736201,-0.018345841
2015-07-01,-0.00585,-0.00905,0.02116,0.006325,-0.014276079,0.048062281
2015-07-02,0.0026,-0.00245,0.00681,0.0095,-0.00782714,0.021663116
2015-07-03,0.0002,0.0043,0.00049,0.0118,0.005926048,-0.024217407
2015-07-06,-0.002,0.0021,-0.00905,0.0038,0.003682965,0.034911677
2015-07-07,0.00495,-0.00275,-0.037326667,-0.023425,-0.008791707,0.007556424
2015-07-08,-0.0049,0.0067,0.01369,-0.00495,-0.007770805,-0.015776007
2015-07-09,0.00835,-0.00585,0.00655,-0.000875,-0.029100753,0.034330861
2015-07-10,-0.0067,0,-0.003686667,0.014825,0.014054485,0.011274428
2015-07-13,-0.01055,0.0007,-0.00167,-0.00185,0.033365606,0.025780286
2015-07-14,-0.0126,0.0055,-0.003316667,0.00655,0.031795008,0.014638434
2015-07-15,-0.00725,0.00005,0.003956667,0.007775,0.016312387,0.004159489
2015-07-16,-0.0112,-0.00205,0.014673333,-0.00625,0.012466778,-0.001389174
2015-07-17,0.00165,-0.0055,0.015796667,-0.013625,0.036531532,-0.011341793
2015-07-20,-0.01095,-0.00135,0.00895,-0.00935,-0.00177624,-0.002373449
2015-07-21,0.0014,0.0011,-0.007143333,-0.001725,-0.013314137,0.000448516
2015-07-22,-0.00375,0.00145,0.005806667,-0.0003,0.002429198,-0.028521345
2015-07-23,0.00595,0.0009,0.0043,0.0053,0.031365171,-0.007010412
2015-07-24,-0.0031,-0.00085,0.010226667,0.0139,0.010062515,-0.004227148
2015-07-27,0.01025,0.0061,-0.00321,-0.001875,-0.000890139,-0.014123456
2015-07-28,0.0074,-0.00585,-0.000586667,-0.0062,0.000124911,0.003663602
2015-07-29,0.0113,0.0003,-0.032296667,-0.012475,-0.010016628,-0.00638695
2015-07-30,0.01575,-0.0048,-0.03287,-0.001,-0.020075664,-0.012240325
2015-07-31,-0.0107,0.00225,-0.00297,0.009975,-0.002801558,0.013702994
2015-08-03,-0.00365,0.0021,-0.020076667,-0.0134,0.013142245,0.002389879
