FuturesID,Name,Market,SpotName,SpotCode,Ticker
KRDRVFUS11,파생 선물 삼성전자,KOSPI,삼성전자,KR7005930003,A005930
KRDRVFUS12,파생 선물 SK텔레콤,KOSPI,SK텔레콤,KR7017670001,A017670
KRDRVFUS13,파생 선물 POSCO,KOSPI,POSCO,KR7005490008,A005490
KRDRVFUS14,파생 선물 KT,KOSPI,KT,KR7030200000,A030200
KRDRVFUS15,파생 선물 한국전력,KOSPI,한국전력,KR7015760002,A015760
KRDRVFUS16,파생 선물 현대차,KOSPI,현대차,KR7005380001,A005380
KRDRVFUS17,파생 선물 삼성증권,KOSPI,삼성증권,KR7016360000,A016360
KRDRVFUS18,파생 선물 신한지주,KOSPI,신한지주,KR7055550008,A055550
KRDRVFUS19,파생 선물 기아,KOSPI,기아,KR7000270009,A000270
KRDRVFUS20,파생 선물 현대모비스,KOSPI,현대모비스,KR7012330007,A012330
KRDRVFUS22,파생 선물 삼성SDI,KOSPI,삼성SDI,KR7006400006,A006400
KRDRVFUS23,파생 선물 삼성전기,KOSPI,삼성전기,KR7009150004,A009150
KRDRVFUS24,파생 선물 LG전자,KOSPI,LG전자,KR7066570003,A066570
KRDRVFUS28,파생 선물 한국가스,KOSPI,한국가스공사,KR7036460004,A036460
KRDRVFUS32,파생 선물 현대제철,KOSPI,현대제철,KR7004020004,A004020
KRDRVFUS34,파생 선물 LG,KOSPI,LG,KR7003550001,A003550
KRDRVFUS35,파생 선물 GS,KOSPI,GS,KR7078930005,A078930
KRDRVFUS36,파생 선물 케이티앤지,KOSPI,KT&G,KR7033780008,A033780
KRDRVFUS39,파생 선물 한국조선해양,KOSPI,한국조선해양,KR7009540006,A009540
KRDRVFUS40,파생 선물 하나금융지주,KOSPI,하나금융지주,KR7086790003,A086790
KRDRVFUS41,파생 선물 SK이노베이션,KOSPI,SK이노베이션,KR7096770003,A096770
KRDRVFUS42,파생 선물 CJ,KOSPI,CJ,KR7001040005,A001040
KRDRVFUS45,파생 선물 LG디스플레이,KOSPI,LG디스플레이,KR7034220004,A034220
KRDRVFUS46,파생 선물 KB금융,KOSPI,KB금융,KR7105560007,A105560
KRDRVFUS47,파생 선물 LG화학,KOSPI,LG화학,KR7051910008,A051910
KRDRVFUS48,파생 선물 미래에셋증권,KOSPI,미래에셋증권,KR7006800007,A006800
KRDRVFUS49,파생 선물 두산인프라코어,KOSPI,두산인프라코어,KR7042670000,A042670
