KS2015Long,KS2015Short,KQ2015Long,KQ2015Short,KS2016Long,KS2016Short,KQ2016Long,KQ2016Short,KS2017Long,KS2017Short,KQ2017Long,KQ2017Short,KS2018Long,KS2018Short,KQ2018Long,KQ2018Short,KS2019Long,KS2019Short,KQ2019Long,KQ2019Short,KS2020Long,KS2020Short,KQ2020Long,KQ2020Short,KS2021Long,KS2021Short,KQ2021Long,KQ2021Short
A005320,A002410,A016100,A111610,A008930,A025620,A064090,A032860,A005980,A001470,A225530,A047770,A005420,A014910,A215600,A019570,A011390,A071970,A087730,A149940,A009190,A007630,A088290,A197210,A019170,A109070,A109820,A050540
A004870,A011330,A054300,A032420,A006060,A042660,A900100,A047770,A003520,A117930,A049120,A064090,A007460,A005110,A041190,A080530,A069460,A103130,A103230,A065160,A033250,A030790,A078130,A195440,A011000,A009190,A950130,A009730
A014280,A030790,A086390,A053810,A128940,A004700,A109960,A052270,A014910,A071970,A065060,A026260,A001820,A001020,A007390,A047440,A033180,A018500,A045390,A900090,A002070,A097230,A139670,A087730,A001470,A011690,A058110,A045890
A004700,A028670,A078340,A052420,A109070,A128820,A043580,A168330,A002140,A011200,A014200,A032860,A009470,A015260,A049950,A058530,A008355,A004710,A052020,A194510,A007700,A092200,A032500,A222810,A336260,A145210,A080580,A114570
A002170,A001260,A043090,A053330,A005110,A001260,A036200,A049080,A002900,A016380,A018700,A151910,A005070,A118000,A010170,A058450,A081660,A009240,A086250,A192410,A021050,A016380,A176440,A950160,A285130,A009810,A205470,A160600
A094280,A110570,A060570,A037950,A033250,A051310,A060240,A032500,A118000,A090370,A090470,A095300,A020150,A005030,A036120,A030270,A002210,A007810,A094940,A030270,A000990,A012170,A138080,A114570,A112610,A010580,A156100,A058220
A024720,A005960,A123420,A072520,A003350,A011200,A050320,A083650,A004720,A015540,A109740,A056730,A007700,A027410,A086520,A066790,A009460,A084870,A066430,A052770,A281820,A007460,A214150,A215600,A023960,A002070,A096530,A066430
A079430,A010620,A026260,A004320,A074610,A007280,A051980,A083640,A006380,A109070,A058220,A121800,A207940,A000040,A032500,A008800,A008350,A267260,A096350,A057680,A068290,A025620,A101490,A223310,A011200,A074610,A068760,A033110
A010780,A025620,A069080,A043710,A001360,A042670,A051170,A036500,A005030,A027390,A019570,A036500,A003230,A005980,A078600,A018700,A006390,A011810,A025980,A143540,A007810,A010600,A053590,A141020,A037270,A025560,A082850,A226350
A123690,A097230,A025900,A071930,A096760,A133820,A121800,A101730,A155660,A103130,A200230,A053110,A069620,A002140,A090460,A109610,A051630,A020760,A127160,A051370,A044380,A000890,A106240,A103230,A003090,A003280,A196170,A141020
A034300,A010060,A038680,A090120,A014820,A011720,A066430,A073110,A069730,A085310,A155650,A052270,A007630,A145270,A200230,A065060,A000520,A093240,A143160,A033110,A003415,A071970,A089010,A073070,A011930,A033180,A235980,A052190
A000700,A071970,A097870,A004325,A004830,A082740,A114570,A053660,A161000,A122900,A084180,A066430,A074610,A109070,A178920,A131100,A031430,A033240,A009520,A108230,A001140,A000370,A179900,A102940,A033270,A011300,A025950,A038160
A005110,A020760,A041830,A099660,A002020,A047050,A036630,A060720,A007630,A128940,A147830,A900100,A081000,A002900,A121800,A190510,A042660,A011230,A250060,A054340,A084680,A008930,A082270,A127160,A012600,A025620,A131370,A073070
A002320,A012450,A015710,A028040,A005750,A011160,A058450,A065270,A093240,A033250,A089140,A023440,A017370,A001620,A073070,A032040,A006490,A281820,A119830,A205500,A002410,A003620,A036540,A033600,A005320,A004870,A051980,A158310
A014820,A003070,A141020,A052900,A009420,A071970,A115530,A049550,A002620,A016450,A060260,A106520,A004130,A015020,A003670,A057030,A014990,A200880,A222810,A053590,A015590,A016385,A143540,A168330,A007860,A194370,A018000,A036180
A023150,A009540,A048410,A099520,A004770,A010140,A067080,A170790,A011690,A000950,A090460,A115530,A003090,A044380,A155650,A155960,A005690,A161000,A039610,A090470,A000140,A294870,A207760,A220180,A023800,A298690,A065680,A087730
A005610,A006380,A028300,A086830,A006340,A900140,A066790,A085810,A017180,A008930,A045660,A052400,A004000,A007120,A025320,A026260,A004980,A005420,A263920,A064520,A006060,A005420,A050760,A065620,A006280,A019680,A100090,A263540
A027390,A051310,A047080,A043910,A005870,A077970,A078130,A036710,A035150,A001360,A071280,A173940,A210540,A093230,A028300,A054620,A082740,A004380,A000250,A106080,A010640,A088350,A094860,A033790,A016710,A006060,A033310,A095270
A003350,A000360,A064240,A123260,A001820,A004560,A019660,A131970,A005070,A105630,A064240,A038340,A066570,A085310,A066970,A099830,A008970,A204320,A263770,A121800,A100840,A000040,A097520,A092600,A007570,A035150,A131290,A114120
A009240,A004770,A018310,A074150,A001520,A002170,A122800,A051360,A100220,A011810,A095610,A138070,A004870,A071970,A018000,A049120,A002320,A021820,A033340,A052190,A267850,A002630,A060720,A123750,A001570,A084680,A241820,A086250
